"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 16 15:38:15 GMT 2023","Sun Apr 16 15:38:41 GMT 2023","25961","Vizsgaremek.test","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból -Új posztok létrehozása-",""
"passed","Sun Apr 16 15:37:50 GMT 2023","Sun Apr 16 15:37:53 GMT 2023","3383","Vizsgaremek.test","test_conduit","TestConduit","","","Regisztrációs felület használata",""
"passed","Sun Apr 16 15:37:57 GMT 2023","Sun Apr 16 15:38:00 GMT 2023","2941","Vizsgaremek.test","test_conduit","TestConduit","","","Új adat bevitele -Új poszt készítése-",""
"passed","Sun Apr 16 15:38:01 GMT 2023","Sun Apr 16 15:38:09 GMT 2023","7819","Vizsgaremek.test","test_conduit","TestConduit","","","Meglévő adat módosítása -Korábbi poszt módosítása-",""
"passed","Sun Apr 16 15:38:10 GMT 2023","Sun Apr 16 15:38:14 GMT 2023","3875","Vizsgaremek.test","test_conduit","TestConduit","","","Meglévő adat törlése -Korábbi poszt törlése-",""
"passed","Sun Apr 16 15:38:55 GMT 2023","Sun Apr 16 15:38:56 GMT 2023","1163","Vizsgaremek.test","test_conduit","TestConduit","","","Kijelentkezés -TestUser kilép-",""
"broken","Sun Apr 16 15:37:42 GMT 2023","Sun Apr 16 15:37:49 GMT 2023","7126","Vizsgaremek.test","test_conduit","TestConduit","","","Az adatkezelési nyilatkozat használata -A tájékoztatás elutasítása-",""
"passed","Sun Apr 16 15:38:50 GMT 2023","Sun Apr 16 15:38:54 GMT 2023","3626","Vizsgaremek.test","test_conduit","TestConduit","","","Adatok listázása -TesztUser posztjaira szűrve nem jelenik meg másik felhasználó cikke-",""
"passed","Sun Apr 16 15:37:55 GMT 2023","Sun Apr 16 15:37:56 GMT 2023","1402","Vizsgaremek.test","test_conduit","TestConduit","","","A bejelentkezési felület használata, korábban regisztrált felhasználóval",""
"passed","Sun Apr 16 15:38:43 GMT 2023","Sun Apr 16 15:38:44 GMT 2023","1765","Vizsgaremek.test","test_conduit","TestConduit","","","Több oldalas lista bejárása -Létrehozott oldalak végigjárása-",""
"passed","Sun Apr 16 15:38:45 GMT 2023","Sun Apr 16 15:38:49 GMT 2023","3611","Vizsgaremek.test","test_conduit","TestConduit","","","Adatok lementése felületről -TestUser által létrehozott címek txt-be mentve-",""
