"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 10 12:59:53 GMT 2023","Mon Apr 10 13:00:00 GMT 2023","7106","Vizsgaremek.test","test_conduit","TestConduit","","","test_new_post",""
"passed","Mon Apr 10 12:59:45 GMT 2023","Mon Apr 10 12:59:45 GMT 2023","144","Vizsgaremek.test","test_conduit","TestConduit","","","test_statement",""
"passed","Mon Apr 10 13:00:24 GMT 2023","Mon Apr 10 13:00:30 GMT 2023","5398","Vizsgaremek.test","test_conduit","TestConduit","","","test_pages_list",""
"broken","Mon Apr 10 13:00:22 GMT 2023","Mon Apr 10 13:00:23 GMT 2023","1274","Vizsgaremek.test","test_conduit","TestConduit","","","test_data_source",""
"passed","Mon Apr 10 13:00:41 GMT 2023","Mon Apr 10 13:00:44 GMT 2023","3335","Vizsgaremek.test","test_conduit","TestConduit","","","test_log_out",""
"passed","Mon Apr 10 13:00:31 GMT 2023","Mon Apr 10 13:00:35 GMT 2023","3446","Vizsgaremek.test","test_conduit","TestConduit","","","test_data_save_txt",""
"passed","Mon Apr 10 13:00:36 GMT 2023","Mon Apr 10 13:00:39 GMT 2023","3338","Vizsgaremek.test","test_conduit","TestConduit","","","test_data_list",""
"passed","Mon Apr 10 13:00:01 GMT 2023","Mon Apr 10 13:00:13 GMT 2023","11764","Vizsgaremek.test","test_conduit","TestConduit","","","test_edit_post",""
"passed","Mon Apr 10 12:59:50 GMT 2023","Mon Apr 10 12:59:52 GMT 2023","1273","Vizsgaremek.test","test_conduit","TestConduit","","","test_login",""
"passed","Mon Apr 10 12:59:46 GMT 2023","Mon Apr 10 12:59:49 GMT 2023","2708","Vizsgaremek.test","test_conduit","TestConduit","","","test_registry",""
"passed","Mon Apr 10 13:00:14 GMT 2023","Mon Apr 10 13:00:20 GMT 2023","5966","Vizsgaremek.test","test_conduit","TestConduit","","","test_delete_post",""
