"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 16:24:01 GMT 2023","Sun Apr 09 16:24:11 GMT 2023","9139","Vizsgaremek.test","test_conduit","TestConduit","","","test_new_post",""
"passed","Sun Apr 09 16:23:56 GMT 2023","Sun Apr 09 16:23:58 GMT 2023","2330","Vizsgaremek.test","test_conduit","TestConduit","","","test_login",""
"passed","Sun Apr 09 16:25:12 GMT 2023","Sun Apr 09 16:25:16 GMT 2023","4427","Vizsgaremek.test","test_conduit","TestConduit","","","test_log_out",""
"passed","Sun Apr 09 16:25:04 GMT 2023","Sun Apr 09 16:25:09 GMT 2023","4410","Vizsgaremek.test","test_conduit","TestConduit","","","test_data_list",""
"passed","Sun Apr 09 16:24:30 GMT 2023","Sun Apr 09 16:24:37 GMT 2023","7081","Vizsgaremek.test","test_conduit","TestConduit","","","test_delete_post",""
"passed","Sun Apr 09 16:24:56 GMT 2023","Sun Apr 09 16:25:01 GMT 2023","4564","Vizsgaremek.test","test_conduit","TestConduit","","","test_data_save_txt",""
"passed","Sun Apr 09 16:23:43 GMT 2023","Sun Apr 09 16:23:47 GMT 2023","3079","Vizsgaremek.test","test_conduit","TestConduit","","","test_statement",""
"passed","Sun Apr 09 16:24:46 GMT 2023","Sun Apr 09 16:24:53 GMT 2023","6496","Vizsgaremek.test","test_conduit","TestConduit","","","test_pages_list",""
"broken","Sun Apr 09 16:24:41 GMT 2023","Sun Apr 09 16:24:43 GMT 2023","2347","Vizsgaremek.test","test_conduit","TestConduit","","","test_data_source",""
"passed","Sun Apr 09 16:24:14 GMT 2023","Sun Apr 09 16:24:27 GMT 2023","13191","Vizsgaremek.test","test_conduit","TestConduit","","","test_edit_post",""
"passed","Sun Apr 09 16:23:50 GMT 2023","Sun Apr 09 16:23:52 GMT 2023","2571","Vizsgaremek.test","test_conduit","TestConduit","","","test_registry",""
