"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 10 16:20:54 GMT 2023","Mon Apr 10 16:20:55 GMT 2023","839","Vizsgaremek.test","test_conduit","TestConduit","","","test_login",""
"passed","Mon Apr 10 16:20:56 GMT 2023","Mon Apr 10 16:20:59 GMT 2023","2663","Vizsgaremek.test","test_conduit","TestConduit","","","test_new_post",""
"broken","Mon Apr 10 16:21:40 GMT 2023","Mon Apr 10 16:21:41 GMT 2023","942","Vizsgaremek.test","test_conduit","TestConduit","","","test_pages_list",""
"passed","Mon Apr 10 16:20:48 GMT 2023","Mon Apr 10 16:20:49 GMT 2023","66","Vizsgaremek.test","test_conduit","TestConduit","","","test_statement",""
"passed","Mon Apr 10 16:21:48 GMT 2023","Mon Apr 10 16:21:49 GMT 2023","1054","Vizsgaremek.test","test_conduit","TestConduit","","","test_log_out",""
"broken","Mon Apr 10 16:21:07 GMT 2023","Mon Apr 10 16:21:14 GMT 2023","6382","Vizsgaremek.test","test_conduit","TestConduit","","","test_delete_post",""
"passed","Mon Apr 10 16:20:50 GMT 2023","Mon Apr 10 16:20:52 GMT 2023","2449","Vizsgaremek.test","test_conduit","TestConduit","","","test_registry",""
"passed","Mon Apr 10 16:21:00 GMT 2023","Mon Apr 10 16:21:06 GMT 2023","5640","Vizsgaremek.test","test_conduit","TestConduit","","","test_edit_post",""
"broken","Mon Apr 10 16:21:45 GMT 2023","Mon Apr 10 16:21:46 GMT 2023","1452","Vizsgaremek.test","test_conduit","TestConduit","","","test_data_list",""
"broken","Mon Apr 10 16:21:42 GMT 2023","Mon Apr 10 16:21:43 GMT 2023","1448","Vizsgaremek.test","test_conduit","TestConduit","","","test_data_save_txt",""
"passed","Mon Apr 10 16:21:15 GMT 2023","Mon Apr 10 16:21:38 GMT 2023","23028","Vizsgaremek.test","test_conduit","TestConduit","","","test_data_source",""
