"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 10 18:21:21 GMT 2023","Mon Apr 10 18:21:22 GMT 2023","921","Vizsgaremek.test","test_conduit","TestConduit","","","test_log_out",""
"broken","Mon Apr 10 18:21:18 GMT 2023","Mon Apr 10 18:21:19 GMT 2023","1308","Vizsgaremek.test","test_conduit","TestConduit","","","test_data_list",""
"passed","Mon Apr 10 18:20:34 GMT 2023","Mon Apr 10 18:20:36 GMT 2023","2149","Vizsgaremek.test","test_conduit","TestConduit","","","test_new_post",""
"passed","Mon Apr 10 18:20:38 GMT 2023","Mon Apr 10 18:20:43 GMT 2023","5262","Vizsgaremek.test","test_conduit","TestConduit","","","test_edit_post",""
"passed","Mon Apr 10 18:21:12 GMT 2023","Mon Apr 10 18:21:13 GMT 2023","1227","Vizsgaremek.test","test_conduit","TestConduit","","","test_pages_list",""
"passed","Mon Apr 10 18:20:44 GMT 2023","Mon Apr 10 18:20:47 GMT 2023","2212","Vizsgaremek.test","test_conduit","TestConduit","","","test_delete_post",""
"passed","Mon Apr 10 18:20:48 GMT 2023","Mon Apr 10 18:21:11 GMT 2023","22900","Vizsgaremek.test","test_conduit","TestConduit","","","test_data_source",""
"passed","Mon Apr 10 18:20:26 GMT 2023","Mon Apr 10 18:20:27 GMT 2023","152","Vizsgaremek.test","test_conduit","TestConduit","","","test_statement",""
"passed","Mon Apr 10 18:20:28 GMT 2023","Mon Apr 10 18:20:31 GMT 2023","2754","Vizsgaremek.test","test_conduit","TestConduit","","","test_registry",""
"passed","Mon Apr 10 18:20:32 GMT 2023","Mon Apr 10 18:20:33 GMT 2023","798","Vizsgaremek.test","test_conduit","TestConduit","","","test_login",""
"passed","Mon Apr 10 18:21:15 GMT 2023","Mon Apr 10 18:21:17 GMT 2023","1921","Vizsgaremek.test","test_conduit","TestConduit","","","test_data_save_txt",""
