"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 10 12:56:13 GMT 2023","Mon Apr 10 12:56:15 GMT 2023","1257","Vizsgaremek.test","test_conduit","TestConduit","","","test_new_post",""
"broken","Mon Apr 10 12:56:19 GMT 2023","Mon Apr 10 12:56:20 GMT 2023","1253","Vizsgaremek.test","test_conduit","TestConduit","","","test_delete_post",""
"passed","Mon Apr 10 12:56:06 GMT 2023","Mon Apr 10 12:56:06 GMT 2023","144","Vizsgaremek.test","test_conduit","TestConduit","","","test_statement",""
"broken","Mon Apr 10 12:56:08 GMT 2023","Mon Apr 10 12:56:09 GMT 2023","1688","Vizsgaremek.test","test_conduit","TestConduit","","","test_registry",""
"broken","Mon Apr 10 12:56:27 GMT 2023","Mon Apr 10 12:56:28 GMT 2023","1254","Vizsgaremek.test","test_conduit","TestConduit","","","test_data_save_txt",""
"broken","Mon Apr 10 12:56:11 GMT 2023","Mon Apr 10 12:56:12 GMT 2023","1290","Vizsgaremek.test","test_conduit","TestConduit","","","test_login",""
"broken","Mon Apr 10 12:56:16 GMT 2023","Mon Apr 10 12:56:17 GMT 2023","1267","Vizsgaremek.test","test_conduit","TestConduit","","","test_edit_post",""
"broken","Mon Apr 10 12:56:30 GMT 2023","Mon Apr 10 12:56:31 GMT 2023","1255","Vizsgaremek.test","test_conduit","TestConduit","","","test_data_list",""
"broken","Mon Apr 10 12:56:32 GMT 2023","Mon Apr 10 12:56:34 GMT 2023","1251","Vizsgaremek.test","test_conduit","TestConduit","","","test_log_out",""
"broken","Mon Apr 10 12:56:24 GMT 2023","Mon Apr 10 12:56:26 GMT 2023","1260","Vizsgaremek.test","test_conduit","TestConduit","","","test_pages_list",""
"broken","Mon Apr 10 12:56:22 GMT 2023","Mon Apr 10 12:56:23 GMT 2023","1250","Vizsgaremek.test","test_conduit","TestConduit","","","test_data_source",""
