"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 07 12:34:47 GMT 2023","Fri Apr 07 12:34:47 GMT 2023","0","Vizsgaremek.test","test_conduit","TestConduit","","","test_login",""
"broken","Fri Apr 07 12:34:43 GMT 2023","Fri Apr 07 12:34:43 GMT 2023","0","Vizsgaremek.test","test_conduit","TestConduit","","","test_statement",""
"broken","Fri Apr 07 12:34:47 GMT 2023","Fri Apr 07 12:34:47 GMT 2023","0","Vizsgaremek.test","test_conduit","TestConduit","","","test_registry",""
"broken","Fri Apr 07 12:34:48 GMT 2023","Fri Apr 07 12:34:48 GMT 2023","0","Vizsgaremek.test","test_conduit","TestConduit","","","test_newpost",""
